type,count,name,series,collection
Raw Logo Gems,3,Bron Breakker,Raw,1/1
Signature Prime Materials,9,Bron Breakker,Raw,/25
Signature Prime Materials Amethyst,9,Bron Breakker,Raw,/8
Signature Prime Materials Emerald,9,Bron Breakker,Raw,/5
Signature Prime Materials Gold,9,Bron Breakker,Raw,/10
Signature Prime Materials Platinum,9,Bron Breakker,Raw,1/1
Signature Prime Materials Ruby,9,Bron Breakker,Raw,/15
Flawless Dual Memorabilia,13,Bron Breakker / Scott Steiner,Raw / Legend,/15
Flawless Dual Memorabilia Amethyst,13,Bron Breakker / Scott Steiner,Raw / Legend,/8
Vertical Autographed Memorabilia,36,Brooks Jensen,NXT,/25
Vertical Autographed Memorabilia Amethyst,36,Brooks Jensen,NXT,/8
Vertical Autographed Memorabilia Bronze FOTL,36,Brooks Jensen,NXT,/3
Vertical Autographed Memorabilia Emerald,36,Brooks Jensen,NXT,/5
Vertical Autographed Memorabilia Gold,36,Brooks Jensen,NXT,/10
Vertical Autographed Memorabilia Platinum,36,Brooks Jensen,NXT,1/1
Vertical Autographed Memorabilia Ruby,36,Brooks Jensen,NXT,/15
5 x 7 Box Topper Cut Signatures,9,Bruno Sammartino,Legend,1/1
Base Legends,82,"Brutus ""The Barber"" Beefcake",Legend,/25
Base Legends Amethyst,82,"Brutus ""The Barber"" Beefcake",Legend,/8
Base Legends Emerald,82,"Brutus ""The Barber"" Beefcake",Legend,/5
Base Legends Gold,82,"Brutus ""The Barber"" Beefcake",Legend,/10
Base Legends Platinum,82,"Brutus ""The Barber"" Beefcake",Legend,1/1
Base Legends Ruby,82,"Brutus ""The Barber"" Beefcake",Legend,/15
Flawless Memorabilia,35,"Brutus ""The Barber"" Beefcake",Legend,/15
Flawless Memorabilia Amethyst,35,"Brutus ""The Barber"" Beefcake",Legend,/6
Flawless Memorabilia Emerald,35,"Brutus ""The Barber"" Beefcake",Legend,/3
Flawless Memorabilia Gold,35,"Brutus ""The Barber"" Beefcake",Legend,/10
Flawless Memorabilia Platinum,35,"Brutus ""The Barber"" Beefcake",Legend,1/1
Flawless Patch Autographs,12,"Brutus ""The Barber"" Beefcake",Legend,/25
Flawless Patch Autographs Amethyst,12,"Brutus ""The Barber"" Beefcake",Legend,/8
Flawless Patch Autographs Emerald,12,"Brutus ""The Barber"" Beefcake",Legend,/5
Flawless Patch Autographs Gold,12,"Brutus ""The Barber"" Beefcake",Legend,/10
Flawless Patch Autographs Platinum,12,"Brutus ""The Barber"" Beefcake",Legend,1/1
Flawless Patch Autographs Ruby,12,"Brutus ""The Barber"" Beefcake",Legend,/15
Vertical Autographed Memorabilia,46,Brutus Creed,Raw,/25
Vertical Autographed Memorabilia Amethyst,46,Brutus Creed,Raw,/8
Vertical Autographed Memorabilia Bronze FOTL,46,Brutus Creed,Raw,/3
Vertical Autographed Memorabilia Gold,46,Brutus Creed,Raw,/10
Vertical Autographed Memorabilia Platinum,46,Brutus Creed,Raw,1/1
Vertical Autographed Memorabilia Ruby,46,Brutus Creed,Raw,/15
Flawless Memorabilia,7,Bubba Ray Dudley,Legend,/15
Flawless Memorabilia Amethyst,7,Bubba Ray Dudley,Legend,/6
Flawless Memorabilia Emerald,7,Bubba Ray Dudley,Legend,/3
Flawless Memorabilia Gold,7,Bubba Ray Dudley,Legend,/10
Flawless Memorabilia Platinum,7,Bubba Ray Dudley,Legend,1/1
Flawless Patch Autographs,22,Bubba Ray Dudley,Legend,/25
Flawless Patch Autographs Platinum,22,Bubba Ray Dudley,Legend,1/1
Flawless Dual Memorabilia Amethyst,12,Bubba Ray Dudley / D-Von Dudley,Legend,/8
Flawless Dual Memorabilia Platinum,12,Bubba Ray Dudley / D-Von Dudley,Legend,1/1
Flawless Patch Autographs,32,Cactus Jack,Legend,/25
Flawless Patch Autographs Amethyst,32,Cactus Jack,Legend,/8
Flawless Patch Autographs Emerald,32,Cactus Jack,Legend,/5
Flawless Patch Autographs Gold,32,Cactus Jack,Legend,/10
Flawless Patch Autographs Ruby,32,Cactus Jack,Legend,/15
WWE Legends Logo Gems,9,Cactus Jack,Legend,1/1
Flawless Triple Memorabilia Gold,4,Cactus Jack / Dude Love / Mankind,Legend,/10
Flawless Triple Memorabilia Platinum,4,Cactus Jack / Dude Love / Mankind,Legend,1/1
Flawless Triple Memorabilia,4,Cactus Jack / Mankind / Dude Love,Legend,/15
Vertical Autographed Memorabilia,8,Candice LeRae,SmackDown,/25
Vertical Autographed Memorabilia Amethyst,8,Candice LeRae,SmackDown,/8
Vertical Autographed Memorabilia Bronze FOTL,8,Candice LeRae,SmackDown,/3
Vertical Autographed Memorabilia Emerald,8,Candice LeRae,SmackDown,/5
Vertical Autographed Memorabilia Gold,8,Candice LeRae,SmackDown,/10
Vertical Autographed Memorabilia Platinum,8,Candice LeRae,SmackDown,1/1
Vertical Autographed Memorabilia Ruby,8,Candice LeRae,SmackDown,/15
5 x 7 Box Topper Cut Signatures,12,Captain Lou Albano,Legend,1/1
Flawless Patch Autographs,25,Carlito,Raw,/25
Flawless Patch Autographs Amethyst,25,Carlito,Raw,/8
Flawless Patch Autographs Emerald,25,Carlito,Raw,/5
Flawless Patch Autographs Gold,25,Carlito,Raw,/10
Flawless Patch Autographs Platinum,25,Carlito,Raw,1/1
Flawless Patch Autographs Ruby,25,Carlito,Raw,/15
Vertical Autographed Memorabilia,18,Carlito,Raw,/25
Vertical Autographed Memorabilia Amethyst,18,Carlito,Raw,/8
Vertical Autographed Memorabilia Bronze FOTL,18,Carlito,Raw,/3
Vertical Autographed Memorabilia Emerald,18,Carlito,Raw,/5
Vertical Autographed Memorabilia Gold,18,Carlito,Raw,/10
Vertical Autographed Memorabilia Platinum,18,Carlito,Raw,1/1
Vertical Autographed Memorabilia Ruby,18,Carlito,Raw,/15
Horizontal Autographed Memorabilia,3,Carmella,WWE,/25
Horizontal Autographed Memorabilia Amethyst,3,Carmella,WWE,/8
Horizontal Autographed Memorabilia Bronze FOTL,3,Carmella,WWE,/3
Horizontal Autographed Memorabilia Emerald,3,Carmella,WWE,/5
Horizontal Autographed Memorabilia Gold,3,Carmella,WWE,/10
Horizontal Autographed Memorabilia Platinum,3,Carmella,WWE,1/1
Horizontal Autographed Memorabilia Ruby,3,Carmella,WWE,/15
Base,38,Carmelo Hayes,SmackDown,/25
Base Amethyst,38,Carmelo Hayes,SmackDown,/8
Base Emerald,38,Carmelo Hayes,SmackDown,/5
Base Gold,38,Carmelo Hayes,SmackDown,/10
Base Platinum,38,Carmelo Hayes,SmackDown,1/1
Base Ruby,38,Carmelo Hayes,SmackDown,/15
Flawless Memorabilia,2,Carmelo Hayes,SmackDown,/15
Flawless Memorabilia Amethyst,2,Carmelo Hayes,SmackDown,/6
Flawless Memorabilia Emerald,2,Carmelo Hayes,SmackDown,/3
Flawless Memorabilia Gold,2,Carmelo Hayes,SmackDown,/10
Flawless Memorabilia Platinum,2,Carmelo Hayes,SmackDown,1/1
Flawless Patch Autographs,4,Carmelo Hayes,SmackDown,/25
Flawless Patch Autographs Amethyst,4,Carmelo Hayes,SmackDown,/8
Flawless Patch Autographs Emerald,4,Carmelo Hayes,SmackDown,/5
Flawless Patch Autographs Gold,4,Carmelo Hayes,SmackDown,/10
Flawless Patch Autographs Platinum,4,Carmelo Hayes,SmackDown,1/1
Flawless Patch Autographs Ruby,4,Carmelo Hayes,SmackDown,/15
Flawless Performances,4,Carmelo Hayes,SmackDown,/25
Flawless Performances Amethyst,4,Carmelo Hayes,SmackDown,/8
Flawless Performances Emerald,4,Carmelo Hayes,SmackDown,/5
Flawless Performances Gold,4,Carmelo Hayes,SmackDown,/10
Flawless Performances Platinum,4,Carmelo Hayes,SmackDown,1/1
Flawless Performances Ruby,4,Carmelo Hayes,SmackDown,/15
Flawless Performances Sapphire,4,Carmelo Hayes,SmackDown,/20
Horizontal Autographed Memorabilia,13,Carmelo Hayes,SmackDown,/25
Horizontal Autographed Memorabilia Amethyst,13,Carmelo Hayes,SmackDown,/8
Horizontal Autographed Memorabilia Bronze FOTL,13,Carmelo Hayes,SmackDown,/3
Horizontal Autographed Memorabilia Emerald,13,Carmelo Hayes,SmackDown,/5
Horizontal Autographed Memorabilia Gold,13,Carmelo Hayes,SmackDown,/10
Horizontal Autographed Memorabilia Platinum,13,Carmelo Hayes,SmackDown,1/1
Horizontal Autographed Memorabilia Ruby,13,Carmelo Hayes,SmackDown,/15
Jumbo Memorabilia,22,Carmelo Hayes,SmackDown,/15
Jumbo Memorabilia Amethyst,22,Carmelo Hayes,SmackDown,/8
Jumbo Memorabilia Emerald,22,Carmelo Hayes,SmackDown,/5
Jumbo Memorabilia Gold,22,Carmelo Hayes,SmackDown,/10
Jumbo Memorabilia Platinum,22,Carmelo Hayes,SmackDown,1/1
Signature Prime Materials,29,Carmelo Hayes,SmackDown,/25
Signature Prime Materials Amethyst,29,Carmelo Hayes,SmackDown,/8
Signature Prime Materials Emerald,29,Carmelo Hayes,SmackDown,/5
Signature Prime Materials Gold,29,Carmelo Hayes,SmackDown,/10
Signature Prime Materials Platinum,29,Carmelo Hayes,SmackDown,1/1
Signature Prime Materials Ruby,29,Carmelo Hayes,SmackDown,/15
Smackdown Logo Gems,18,Carmelo Hayes,SmackDown,1/1
Vertical Autographed Memorabilia,28,Chad Gable,Raw,/25
Vertical Autographed Memorabilia Amethyst,28,Chad Gable,Raw,/8
Vertical Autographed Memorabilia Bronze FOTL,28,Chad Gable,Raw,/3
Vertical Autographed Memorabilia Emerald,28,Chad Gable,Raw,/5
Vertical Autographed Memorabilia Gold,28,Chad Gable,Raw,/10
Vertical Autographed Memorabilia Platinum,28,Chad Gable,Raw,1/1
Vertical Autographed Memorabilia Ruby,28,Chad Gable,Raw,/15
Vertical Autographed Memorabilia,38,"Channing ""Stacks"" Lorenzo",NXT,/25
Vertical Autographed Memorabilia Amethyst,38,"Channing ""Stacks"" Lorenzo",NXT,/8
Vertical Autographed Memorabilia Bronze FOTL,38,"Channing ""Stacks"" Lorenzo",NXT,/3
Vertical Autographed Memorabilia Emerald,38,"Channing ""Stacks"" Lorenzo",NXT,/5
Vertical Autographed Memorabilia Gold,38,"Channing ""Stacks"" Lorenzo",NXT,/10
Vertical Autographed Memorabilia Platinum,38,"Channing ""Stacks"" Lorenzo",NXT,1/1
Vertical Autographed Memorabilia Ruby,38,"Channing ""Stacks"" Lorenzo",NXT,/15
Vertical Autographed Memorabilia,25,Charlie Dempsey,NXT,/25
Vertical Autographed Memorabilia Amethyst,25,Charlie Dempsey,NXT,/8
Vertical Autographed Memorabilia Bronze FOTL,25,Charlie Dempsey,NXT,/3
Vertical Autographed Memorabilia Emerald,25,Charlie Dempsey,NXT,/5
Vertical Autographed Memorabilia Gold,25,Charlie Dempsey,NXT,/10
Vertical Autographed Memorabilia Platinum,25,Charlie Dempsey,NXT,1/1
Vertical Autographed Memorabilia Ruby,25,Charlie Dempsey,NXT,/15
Base,1,Charlotte Flair,WWE,/25
Base Amethyst,1,Charlotte Flair,WWE,/8
Base Emerald,1,Charlotte Flair,WWE,/5
Base Gold,1,Charlotte Flair,WWE,/10
Base Platinum,1,Charlotte Flair,WWE,1/1
Base Ruby,1,Charlotte Flair,WWE,/15
Flawless Achievements,6,Charlotte Flair,WWE,/15
Flawless Achievements Amethyst,6,Charlotte Flair,WWE,/8
Flawless Achievements Emerald,6,Charlotte Flair,WWE,/5
Flawless Achievements Gold,6,Charlotte Flair,WWE,/10
Flawless Achievements Platinum,6,Charlotte Flair,WWE,1/1
Flawless Finishing Moves,12,Charlotte Flair,WWE,/15
Flawless Finishing Moves Amethyst,12,Charlotte Flair,WWE,/8
Flawless Finishing Moves Emerald,12,Charlotte Flair,WWE,/5
Flawless Finishing Moves Gold,12,Charlotte Flair,WWE,/10
Flawless Finishing Moves Platinum,12,Charlotte Flair,WWE,1/1
Flawless Performances,14,Charlotte Flair,WWE,/15
Flawless Performances Amethyst,14,Charlotte Flair,WWE,/8
Flawless Performances Emerald,14,Charlotte Flair,WWE,/5
Flawless Performances Gold,14,Charlotte Flair,WWE,/10
Flawless Performances Platinum,14,Charlotte Flair,WWE,1/1
Flawless Royal Rumble Autographs,20,Charlotte Flair,WWE,/15
Flawless Royal Rumble Autographs Amethyst,20,Charlotte Flair,WWE,/8
Flawless Royal Rumble Autographs Emerald,20,Charlotte Flair,WWE,/5
Flawless Royal Rumble Autographs Gold,20,Charlotte Flair,WWE,/10
Flawless Royal Rumble Autographs Platinum,20,Charlotte Flair,WWE,1/1
Flawless SummerSlam Autographs,11,Charlotte Flair,WWE,/15
Flawless SummerSlam Autographs Amethyst,11,Charlotte Flair,WWE,/8
Flawless SummerSlam Autographs Emerald,11,Charlotte Flair,WWE,/5
Flawless SummerSlam Autographs Gold,11,Charlotte Flair,WWE,/10
Flawless SummerSlam Autographs Platinum,11,Charlotte Flair,WWE,1/1
Flawless Survivor Series Autographs,3,Charlotte Flair,WWE,/15
Flawless Survivor Series Autographs Amethyst,3,Charlotte Flair,WWE,/8
Flawless Survivor Series Autographs Emerald,3,Charlotte Flair,WWE,/5
Flawless Survivor Series Autographs Gold,3,Charlotte Flair,WWE,/10
Flawless Survivor Series Autographs Platinum,3,Charlotte Flair,WWE,1/1
Flawless WrestleMania Autographs,13,Charlotte Flair,WWE,/15
Flawless WrestleMania Autographs Amethyst,13,Charlotte Flair,WWE,/8
Flawless WrestleMania Autographs Emerald,13,Charlotte Flair,WWE,/5
Flawless WrestleMania Autographs Gold,13,Charlotte Flair,WWE,/10
Flawless WrestleMania Autographs Platinum,13,Charlotte Flair,WWE,1/1
Vertical Autographed Memorabilia,48,Charlotte Flair,WWE,/25
Vertical Autographed Memorabilia Amethyst,48,Charlotte Flair,WWE,/8
Vertical Autographed Memorabilia Bronze FOTL,48,Charlotte Flair,WWE,/3
Vertical Autographed Memorabilia Emerald,48,Charlotte Flair,WWE,/5
Vertical Autographed Memorabilia Gold,48,Charlotte Flair,WWE,/10
Vertical Autographed Memorabilia Platinum,48,Charlotte Flair,WWE,1/1
Vertical Autographed Memorabilia Ruby,48,Charlotte Flair,WWE,/15
WWE Logo Gems,4,Charlotte Flair,WWE,1/1
Vertical Autographed Memorabilia,10,Chelsea Green,SmackDown,/25
Vertical Autographed Memorabilia Amethyst,10,Chelsea Green,SmackDown,/8
Vertical Autographed Memorabilia Bronze FOTL,10,Chelsea Green,SmackDown,/3
Vertical Autographed Memorabilia Emerald,10,Chelsea Green,SmackDown,/5
Vertical Autographed Memorabilia Gold,10,Chelsea Green,SmackDown,/10
Vertical Autographed Memorabilia Platinum,10,Chelsea Green,SmackDown,1/1
Vertical Autographed Memorabilia Ruby,10,Chelsea Green,SmackDown,/15
Base Legends,73,Chyna,Legend,/25
Base Legends Amethyst,73,Chyna,Legend,/8
Base Legends Emerald,73,Chyna,Legend,/5
Base Legends Gold,73,Chyna,Legend,/10
Base Legends Platinum,73,Chyna,Legend,1/1
Base Legends Ruby,73,Chyna,Legend,/15
Flawless Memorabilia,27,Chyna,Legend,/15
Flawless Memorabilia Amethyst,27,Chyna,Legend,/6
Flawless Memorabilia Emerald,27,Chyna,Legend,/3
Flawless Memorabilia Gold,27,Chyna,Legend,/10
Flawless Memorabilia Platinum,27,Chyna,Legend,1/1
WWE Legends Logo Gems,8,Chyna,Legend,1/1
Flawless Dual Memorabilia Amethyst,8,Chyna / Eddie Guerrero,Legend,/8
Flawless Dual Memorabilia Platinum,8,Chyna / Eddie Guerrero,Legend,1/1
Flawless Triple Memorabilia,5,Chyna / Shawn Michaels / Triple H,Legend,/15
Base,27,CM Punk,Raw,/25
Base Amethyst,27,CM Punk,Raw,/8
Base Emerald,27,CM Punk,Raw,/5
Base Gold,27,CM Punk,Raw,/10
Base Platinum,27,CM Punk,Raw,1/1
Base Ruby,27,CM Punk,Raw,/15
Flawless Achievements,16,CM Punk,Raw,/25
Flawless Achievements Amethyst,16,CM Punk,Raw,/8
Flawless Achievements Emerald,16,CM Punk,Raw,/5
Flawless Achievements Gold,16,CM Punk,Raw,/10
Flawless Achievements Platinum,16,CM Punk,Raw,1/1
Flawless Achievements Ruby,16,CM Punk,Raw,/15
Flawless Achievements Sapphire,16,CM Punk,Raw,/20
Flawless Finishing Moves,20,CM Punk,Raw,/25
Flawless Finishing Moves Amethyst,20,CM Punk,Raw,/8
Flawless Finishing Moves Emerald,20,CM Punk,Raw,/5
Flawless Finishing Moves Gold,20,CM Punk,Raw,/10
Flawless Finishing Moves Platinum,20,CM Punk,Raw,1/1
Flawless Finishing Moves Ruby,20,CM Punk,Raw,/15
Flawless Finishing Moves Sapphire,20,CM Punk,Raw,/20
Flawless Memorabilia,12,CM Punk,Raw,/15
Flawless Memorabilia Amethyst,12,CM Punk,Raw,/6
Flawless Memorabilia Emerald,12,CM Punk,Raw,/3
Flawless Memorabilia Gold,12,CM Punk,Raw,/10
Flawless Memorabilia Platinum,12,CM Punk,Raw,1/1
Flawless Performances,24,CM Punk,Raw,/25
Flawless Performances Amethyst,24,CM Punk,Raw,/8
Flawless Performances Emerald,24,CM Punk,Raw,/5
Flawless Performances Gold,24,CM Punk,Raw,/10
Flawless Performances Platinum,24,CM Punk,Raw,1/1
Flawless Performances Ruby,24,CM Punk,Raw,/15
Flawless Performances Sapphire,24,CM Punk,Raw,/20
Flawless SummerSlam Autographs,21,CM Punk,Raw,/25
Flawless SummerSlam Autographs Amethyst,21,CM Punk,Raw,/8
Flawless SummerSlam Autographs Emerald,21,CM Punk,Raw,/5
Flawless SummerSlam Autographs Gold,21,CM Punk,Raw,/10
Flawless SummerSlam Autographs Platinum,21,CM Punk,Raw,1/1
Flawless SummerSlam Autographs Ruby,21,CM Punk,Raw,/15
Flawless SummerSlam Autographs Sapphire,21,CM Punk,Raw,/20
Flawless Survivor Series Autographs,21,CM Punk,Raw,/25
Flawless Survivor Series Autographs Amethyst,21,CM Punk,Raw,/8
Flawless Survivor Series Autographs Emerald,21,CM Punk,Raw,/5
Flawless Survivor Series Autographs Gold,21,CM Punk,Raw,/10
Flawless Survivor Series Autographs Platinum,21,CM Punk,Raw,1/1
Flawless Survivor Series Autographs Ruby,21,CM Punk,Raw,/15
Flawless Survivor Series Autographs Sapphire,21,CM Punk,Raw,/20
Flawless WrestleMania Autographs,5,CM Punk,Raw,/25
Flawless WrestleMania Autographs Amethyst,5,CM Punk,Raw,/8
Flawless WrestleMania Autographs Emerald,5,CM Punk,Raw,/5
Flawless WrestleMania Autographs Gold,5,CM Punk,Raw,/10
Flawless WrestleMania Autographs Platinum,5,CM Punk,Raw,1/1
Flawless WrestleMania Autographs Ruby,5,CM Punk,Raw,/15
Flawless WrestleMania Autographs Sapphire,5,CM Punk,Raw,/20
Jumbo Memorabilia,8,CM Punk,Raw,/15
Jumbo Memorabilia Amethyst,8,CM Punk,Raw,/8
Jumbo Memorabilia Emerald,8,CM Punk,Raw,/5
Jumbo Memorabilia Gold,8,CM Punk,Raw,/10
Jumbo Memorabilia Platinum,8,CM Punk,Raw,1/1
Raw Logo Gems,2,CM Punk,Raw,1/1
Star Swatch Signatures,10,CM Punk,Raw,/25
Star Swatch Signatures Amethyst,10,CM Punk,Raw,/8
Star Swatch Signatures Emerald,10,CM Punk,Raw,/5
Star Swatch Signatures Gold,10,CM Punk,Raw,/10
Star Swatch Signatures Platinum,10,CM Punk,Raw,1/1
Star Swatch Signatures Ruby,10,CM Punk,Raw,/15
Superstar Logo Gems,7,CM Punk,Raw,1/1
WWE Logo Gems,9,CM Punk,WWE,1/1
Flawless Dual Memorabilia Amethyst,9,CM Punk / John Cena,Raw / Legend,/8
Base,21,Cora Jade,NXT,/25
Base Amethyst,21,Cora Jade,NXT,/8
Base Emerald,21,Cora Jade,NXT,/5
Base Gold,21,Cora Jade,NXT,/10
Base Platinum,21,Cora Jade,NXT,1/1
Base Ruby,21,Cora Jade,NXT,/15
NXT Logo Gems,2,Cora Jade,NXT,1/1
Vertical Autographed Memorabilia,20,Cora Jade,NXT,/25
Vertical Autographed Memorabilia Amethyst,20,Cora Jade,NXT,/8
Vertical Autographed Memorabilia Bronze FOTL,20,Cora Jade,NXT,/3
Vertical Autographed Memorabilia Emerald,20,Cora Jade,NXT,/5
Vertical Autographed Memorabilia Gold,20,Cora Jade,NXT,/10
Vertical Autographed Memorabilia Platinum,20,Cora Jade,NXT,1/1
Vertical Autographed Memorabilia Ruby,20,Cora Jade,NXT,/15
Flawless Memorabilia,19,D-Von Dudley,Legend,/15
Flawless Memorabilia Amethyst,19,D-Von Dudley,Legend,/6
Flawless Memorabilia Emerald,19,D-Von Dudley,Legend,/3
Flawless Memorabilia Gold,19,D-Von Dudley,Legend,/10
Flawless Memorabilia Platinum,19,D-Von Dudley,Legend,1/1
Flawless Patch Autographs,24,D-Von Dudley,Legend,/25
Flawless Patch Autographs Amethyst,24,D-Von Dudley,Legend,/8
Flawless Patch Autographs Emerald,24,D-Von Dudley,Legend,/5
Flawless Patch Autographs Gold,24,D-Von Dudley,Legend,/10
Flawless Patch Autographs Platinum,24,D-Von Dudley,Legend,1/1
Flawless Patch Autographs Ruby,24,D-Von Dudley,Legend,/15
Flawless Dual Memorabilia,12,D-Von Dudley / Bubba Ray Dudley,Legend,/15
Flawless Dual Memorabilia Emerald,12,D-Von Dudley / Bubba Ray Dudley,Legend,/5
Flawless Dual Memorabilia Gold,12,D-Von Dudley / Bubba Ray Dudley,Legend,/10
Vertical Autographed Memorabilia,30,Dakota Kai,Raw,/25
Vertical Autographed Memorabilia Amethyst,30,Dakota Kai,Raw,/8
Vertical Autographed Memorabilia Bronze FOTL,30,Dakota Kai,Raw,/3
Vertical Autographed Memorabilia Emerald,30,Dakota Kai,Raw,/5
Vertical Autographed Memorabilia Gold,30,Dakota Kai,Raw,/10
Vertical Autographed Memorabilia Platinum,30,Dakota Kai,Raw,1/1
Base,33,Damian Priest,Raw,/25
Base Amethyst,33,Damian Priest,Raw,/8
Base Emerald,33,Damian Priest,Raw,/5
Base Gold,33,Damian Priest,Raw,/10
Base Platinum,33,Damian Priest,Raw,1/1
Base Ruby,33,Damian Priest,Raw,/15
Flawless Finishing Moves,31,Damian Priest,Raw,/25
Flawless Finishing Moves Amethyst,31,Damian Priest,Raw,/8
Flawless Finishing Moves Emerald,31,Damian Priest,Raw,/5
Flawless Finishing Moves Gold,31,Damian Priest,Raw,/10
Flawless Finishing Moves Platinum,31,Damian Priest,Raw,1/1
Flawless Finishing Moves Ruby,31,Damian Priest,Raw,/15
Flawless Finishing Moves Sapphire,31,Damian Priest,Raw,/20
Horizontal Autographed Memorabilia,23,Damian Priest,Raw,/25
Horizontal Autographed Memorabilia Amethyst,23,Damian Priest,Raw,/8
Horizontal Autographed Memorabilia Bronze FOTL,23,Damian Priest,Raw,/3
Horizontal Autographed Memorabilia Emerald,23,Damian Priest,Raw,/5
Horizontal Autographed Memorabilia Gold,23,Damian Priest,Raw,/10
Horizontal Autographed Memorabilia Platinum,23,Damian Priest,Raw,1/1
Horizontal Autographed Memorabilia Ruby,23,Damian Priest,Raw,/15
Raw Logo Gems,1,Damian Priest,Raw,1/1
Vertical Autographed Memorabilia,40,Damian Priest,Raw,/25
Vertical Autographed Memorabilia Amethyst,40,Damian Priest,Raw,/8
Vertical Autographed Memorabilia Bronze FOTL,40,Damian Priest,Raw,/3
Vertical Autographed Memorabilia Emerald,40,Damian Priest,Raw,/5
Vertical Autographed Memorabilia Gold,40,Damian Priest,Raw,/10
Vertical Autographed Memorabilia Platinum,40,Damian Priest,Raw,1/1
Vertical Autographed Memorabilia Ruby,40,Damian Priest,Raw,/15
Vertical Autographed Memorabilia,27,Dani Palmer,NXT,/25
Vertical Autographed Memorabilia Amethyst,27,Dani Palmer,NXT,/8
Vertical Autographed Memorabilia Bronze FOTL,27,Dani Palmer,NXT,/3
Vertical Autographed Memorabilia Emerald,27,Dani Palmer,NXT,/5
Vertical Autographed Memorabilia Gold,27,Dani Palmer,NXT,/10
Vertical Autographed Memorabilia Platinum,27,Dani Palmer,NXT,1/1
Vertical Autographed Memorabilia Ruby,27,Dani Palmer,NXT,/15
Vertical Autographed Memorabilia,2,Dexter Lumis,Raw,/25
Vertical Autographed Memorabilia Amethyst,2,Dexter Lumis,Raw,/8
Vertical Autographed Memorabilia Bronze FOTL,2,Dexter Lumis,Raw,/3
Vertical Autographed Memorabilia Emerald,2,Dexter Lumis,Raw,/5
Vertical Autographed Memorabilia Gold,2,Dexter Lumis,Raw,/10
Vertical Autographed Memorabilia Platinum,2,Dexter Lumis,Raw,1/1
Vertical Autographed Memorabilia Ruby,2,Dexter Lumis,Raw,/15
Base Legends,93,Diamond Dallas Page,Legend,/25
Base Legends Amethyst,93,Diamond Dallas Page,Legend,/8
Base Legends Emerald,93,Diamond Dallas Page,Legend,/5
Base Legends Gold,93,Diamond Dallas Page,Legend,/10
Base Legends Platinum,93,Diamond Dallas Page,Legend,1/1
Base Legends Ruby,93,Diamond Dallas Page,Legend,/15
Flawless WrestleMania Autographs,15,Diamond Dallas Page,Legend,/25
Flawless WrestleMania Autographs Amethyst,15,Diamond Dallas Page,Legend,/8
Flawless WrestleMania Autographs Emerald,15,Diamond Dallas Page,Legend,/5
Flawless WrestleMania Autographs Gold,15,Diamond Dallas Page,Legend,/10
Flawless WrestleMania Autographs Platinum,15,Diamond Dallas Page,Legend,1/1
Flawless WrestleMania Autographs Ruby,15,Diamond Dallas Page,Legend,/15
Flawless WrestleMania Autographs Sapphire,15,Diamond Dallas Page,Legend,/20
WWE Legends Logo Gems,20,Diamond Dallas Page,Legend,1/1
Base Legends,54,DIESEL,Legend,/25
Base Legends Amethyst,54,DIESEL,Legend,/8
Base Legends Emerald,54,DIESEL,Legend,/5
Base Legends Gold,54,DIESEL,Legend,/10
Base Legends Platinum,54,DIESEL,Legend,1/1
Base Legends Ruby,54,DIESEL,Legend,/15
Flawless Finishing Moves,26,DIESEL,Legend,/25
Flawless Finishing Moves Amethyst,26,DIESEL,Legend,/8
Flawless Finishing Moves Emerald,26,DIESEL,Legend,/5
Flawless Finishing Moves Gold,26,DIESEL,Legend,/10
Flawless Finishing Moves Platinum,26,DIESEL,Legend,1/1
Flawless Finishing Moves Ruby,26,DIESEL,Legend,/15
Flawless Finishing Moves Sapphire,26,DIESEL,Legend,/20
Flawless WrestleMania Autographs,25,DIESEL,Legend,/25
Flawless WrestleMania Autographs Amethyst,25,DIESEL,Legend,/8
Flawless WrestleMania Autographs Emerald,25,DIESEL,Legend,/5
Flawless WrestleMania Autographs Gold,25,DIESEL,Legend,/10
Flawless WrestleMania Autographs Platinum,25,DIESEL,Legend,1/1
Flawless WrestleMania Autographs Ruby,25,DIESEL,Legend,/15
Flawless WrestleMania Autographs Sapphire,25,DIESEL,Legend,/20
Flawless Patch Autographs,35,Dragon Lee,Raw,/25
Flawless Patch Autographs Amethyst,35,Dragon Lee,Raw,/8
Flawless Patch Autographs Emerald,35,Dragon Lee,Raw,/5
Flawless Patch Autographs Gold,35,Dragon Lee,Raw,/10
Flawless Patch Autographs Platinum,35,Dragon Lee,Raw,1/1
Flawless Patch Autographs Ruby,35,Dragon Lee,Raw,/15
Vertical Autographed Memorabilia,22,Dragon Lee,Raw,/25
Vertical Autographed Memorabilia Amethyst,22,Dragon Lee,Raw,/8
Vertical Autographed Memorabilia Bronze FOTL,22,Dragon Lee,Raw,/3
Vertical Autographed Memorabilia Emerald,22,Dragon Lee,Raw,/5
Vertical Autographed Memorabilia Gold,22,Dragon Lee,Raw,/10
Vertical Autographed Memorabilia Platinum,22,Dragon Lee,Raw,1/1
Vertical Autographed Memorabilia Ruby,22,Dragon Lee,Raw,/15
Base,43,Drew McIntyre,Raw,/25
Base Amethyst,43,Drew McIntyre,Raw,/8
Base Emerald,43,Drew McIntyre,Raw,/5
